center,bldg,floor,time,raw,norm
Briscoe,Shoemaker,Floor 06,20:00:00,15,1.188422757
Briscoe,Shoemaker,Floor 06,20:30:00,12,0.695576849
Briscoe,Shoemaker,Floor 06,21:00:00,10,0.36701291
Briscoe,Shoemaker,Floor 06,21:30:00,16,1.352704726
Briscoe,Shoemaker,Floor 06,22:00:00,13,0.859858818
Briscoe,Shoemaker,Floor 06,22:30:00,19,1.845550634
Briscoe,Shoemaker,Floor 06,23:00:00,13,0.859858818
Briscoe,Shoemaker,Floor 06,23:30:00,10,0.36701291
Briscoe,Shoemaker,Floor 07,00:00:00,7,0.048976879
Briscoe,Shoemaker,Floor 07,00:30:00,9,0.467506574
Briscoe,Shoemaker,Floor 07,01:00:00,6,-0.160287968
Briscoe,Shoemaker,Floor 07,01:30:00,3,-0.788082511
Briscoe,Shoemaker,Floor 07,02:00:00,2,-0.997347358
Briscoe,Shoemaker,Floor 07,02:30:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,03:00:00,1,-1.206612206
Briscoe,Shoemaker,Floor 07,03:30:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 07,04:30:00,1,-1.206612206
Briscoe,Shoemaker,Floor 07,05:00:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,05:30:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,06:00:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,06:30:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,07:00:00,0,-1.415877053
Briscoe,Shoemaker,Floor 07,07:30:00,3,-0.788082511
Briscoe,Shoemaker,Floor 07,08:00:00,3,-0.788082511
Briscoe,Shoemaker,Floor 07,08:30:00,4,-0.578817663
Briscoe,Shoemaker,Floor 07,09:00:00,2,-0.997347358
Briscoe,Shoemaker,Floor 07,09:30:00,3,-0.788082511
Briscoe,Shoemaker,Floor 07,10:00:00,1,-1.206612206
Briscoe,Shoemaker,Floor 07,10:30:00,4,-0.578817663
Briscoe,Shoemaker,Floor 07,11:00:00,5,-0.369552816
Briscoe,Shoemaker,Floor 07,11:30:00,5,-0.369552816
Briscoe,Shoemaker,Floor 07,12:00:00,6,-0.160287968
Briscoe,Shoemaker,Floor 07,12:30:00,10,0.676771422
Briscoe,Shoemaker,Floor 07,13:00:00,11,0.886036269
Briscoe,Shoemaker,Floor 07,13:30:00,13,1.304565964
Briscoe,Shoemaker,Floor 07,14:00:00,10,0.676771422
Briscoe,Shoemaker,Floor 07,14:30:00,10,0.676771422
Briscoe,Shoemaker,Floor 07,15:00:00,12,1.095301116
Briscoe,Shoemaker,Floor 07,15:30:00,12,1.095301116
Briscoe,Shoemaker,Floor 07,16:00:00,14,1.513830811
Briscoe,Shoemaker,Floor 07,16:30:00,15,1.723095659
Briscoe,Shoemaker,Floor 07,17:00:00,7,0.048976879
Briscoe,Shoemaker,Floor 07,17:30:00,14,1.513830811
Briscoe,Shoemaker,Floor 07,18:00:00,11,0.886036269
