center,bldg,floor,time,raw,norm
Briscoe,Gucker,Floor 06,09:00:00,1,-0.912386345
Briscoe,Gucker,Floor 06,09:30:00,1,-0.912386345
Briscoe,Gucker,Floor 06,10:00:00,2,-0.770392444
Briscoe,Gucker,Floor 06,10:30:00,2,-0.770392444
Briscoe,Gucker,Floor 06,11:00:00,4,-0.486404641
Briscoe,Gucker,Floor 06,11:30:00,7,-0.060422937
Briscoe,Gucker,Floor 06,12:00:00,12,0.64954657
Briscoe,Gucker,Floor 06,12:30:00,13,0.791540471
Briscoe,Gucker,Floor 06,13:00:00,15,1.075528274
Briscoe,Gucker,Floor 06,13:30:00,11,0.507552669
Briscoe,Gucker,Floor 06,14:00:00,10,0.365558767
Briscoe,Gucker,Floor 06,14:30:00,8,0.081570965
Briscoe,Gucker,Floor 06,15:00:00,10,0.365558767
Briscoe,Gucker,Floor 06,15:30:00,11,0.507552669
Briscoe,Gucker,Floor 06,16:00:00,20,1.785497781
Briscoe,Gucker,Floor 06,16:30:00,21,1.927491682
Briscoe,Gucker,Floor 06,17:00:00,29,3.063442893
Briscoe,Gucker,Floor 06,17:30:00,23,2.211479485
Briscoe,Gucker,Floor 06,18:00:00,17,1.359516077
Briscoe,Gucker,Floor 06,18:30:00,13,0.791540471
Briscoe,Gucker,Floor 06,19:00:00,8,0.081570965
Briscoe,Gucker,Floor 06,19:30:00,11,0.507552669
Briscoe,Gucker,Floor 06,20:00:00,11,0.507552669
Briscoe,Gucker,Floor 06,20:30:00,14,0.933534373
Briscoe,Gucker,Floor 06,21:00:00,13,0.791540471
Briscoe,Gucker,Floor 06,21:30:00,10,0.365558767
Briscoe,Gucker,Floor 06,22:00:00,8,0.081570965
Briscoe,Gucker,Floor 06,22:30:00,10,0.365558767
Briscoe,Gucker,Floor 06,23:00:00,8,0.081570965
Briscoe,Gucker,Floor 06,23:30:00,5,-0.344410739
Briscoe,Gucker,Floor 07,00:00:00,11,0.395737022
Briscoe,Gucker,Floor 07,00:30:00,4,-0.598136873
Briscoe,Gucker,Floor 07,01:00:00,4,-0.598136873
Briscoe,Gucker,Floor 07,01:30:00,2,-0.882100843
Briscoe,Gucker,Floor 07,02:00:00,0,-1.166064813
Briscoe,Gucker,Floor 07,02:30:00,0,-1.166064813
Briscoe,Gucker,Floor 07,03:00:00,0,-1.166064813
Briscoe,Gucker,Floor 07,03:30:00,0,-1.166064813
Briscoe,Gucker,Floor 07,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 07,04:30:00,0,-1.166064813
Briscoe,Gucker,Floor 07,05:00:00,0,-1.166064813
Briscoe,Gucker,Floor 07,05:30:00,0,-1.166064813
Briscoe,Gucker,Floor 07,06:00:00,0,-1.166064813
Briscoe,Gucker,Floor 07,06:30:00,0,-1.166064813
Briscoe,Gucker,Floor 07,07:00:00,0,-1.166064813
Briscoe,Gucker,Floor 07,07:30:00,0,-1.166064813
Briscoe,Gucker,Floor 07,08:00:00,0,-1.166064813
Briscoe,Gucker,Floor 07,08:30:00,2,-0.882100843
Briscoe,Gucker,Floor 07,09:00:00,2,-0.882100843
Briscoe,Gucker,Floor 07,09:30:00,2,-0.882100843
Briscoe,Gucker,Floor 07,10:00:00,3,-0.740118858
Briscoe,Gucker,Floor 07,10:30:00,3,-0.740118858
Briscoe,Gucker,Floor 07,11:00:00,1,-1.024082828
Briscoe,Gucker,Floor 07,11:30:00,6,-0.314172903
Briscoe,Gucker,Floor 07,12:00:00,7,-0.172190918
Briscoe,Gucker,Floor 07,12:30:00,14,0.821682977
Briscoe,Gucker,Floor 07,13:00:00,14,0.821682977
Briscoe,Gucker,Floor 07,13:30:00,15,0.963664962
Briscoe,Gucker,Floor 07,14:00:00,16,1.105646947
Briscoe,Gucker,Floor 07,14:30:00,10,0.253755037
Briscoe,Gucker,Floor 07,15:00:00,11,0.395737022
Briscoe,Gucker,Floor 07,15:30:00,15,0.963664962
Briscoe,Gucker,Floor 07,16:00:00,14,0.821682977
Briscoe,Gucker,Floor 07,16:30:00,15,0.963664962
Briscoe,Gucker,Floor 07,17:00:00,12,0.537719007
Briscoe,Gucker,Floor 07,17:30:00,17,1.247628933
Briscoe,Gucker,Floor 07,18:00:00,15,0.963664962
Briscoe,Gucker,Floor 07,18:30:00,20,1.673574888
Briscoe,Gucker,Floor 07,19:00:00,11,0.395737022
Briscoe,Gucker,Floor 07,19:30:00,17,1.247628933
